scheme,village,month,month_lab,period_recent,period_base,variable,mean_recent,mean_base,delta,pct_change,p_welch,hedges_g,ci_low,ci_high,n_recent,n_base
nearest1,Mandena,7,Jul,2018-2022,2003-2007,ssrd_MJ_day,7.40000000000005e-06,1.16e-05,-4.19999999999991e-06,-36.2068965517235,0.511010292805082,-0.40485393982052,-1.44e-05,6.20000000000016e-06,5,5
nearest1,Mandena,7,Jul,2018-2022,2003-2007,wbgt28_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,7,Jul,2018-2022,2003-2007,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,7,Jul,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,8,Aug,2018-2022,2013-2017,tmean_c,18.6922849462366,18.8176612903226,-0.125376344086021,-0.666269533454186,0.65948995959783,-0.261481541169175,-0.579702284946235,0.359566532258064,5,5
nearest1,Mandena,8,Aug,2018-2022,2013-2017,tmax_c,23.0658064516129,23.1477419354839,-0.0819354838709678,-0.353967501881324,0.810144404983994,-0.142552186867678,-0.647064516129033,0.561290322580643,5,5
nearest1,Mandena,8,Aug,2018-2022,2013-2017,tmin_c,15.1851612903226,15.2993548387097,-0.114193548387096,-0.746394534873909,0.719272644789958,-0.217807807424153,-0.630322580645162,0.416758064516128,5,5
nearest1,Mandena,8,Aug,2018-2022,2013-2017,rh_mean,84.8740325960009,84.1357596713802,0.738272924620659,0.877478170404863,0.288407248809751,0.65109633310982,-0.408218602293269,1.81543813827339,5,5
nearest1,Mandena,8,Aug,2018-2022,2013-2017,vpd_kpa,0.370875682748614,0.395204183516709,-0.0243285007680951,-6.15593199232075,0.21237585158559,-0.779167466627365,-0.0521716959504688,0.00853988277808545,5,5
nearest1,Mandena,8,Aug,2018-2022,2013-2017,ssrd_MJ_day,7.80000000000002e-06,9.60000000000007e-06,-1.80000000000005e-06,-18.7500000000004,0.797616534999077,-0.152605754999889,-1.26e-05,1.14e-05,5,5
nearest1,Mandena,8,Aug,2018-2022,2013-2017,wbgt28_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,8,Aug,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,8,Aug,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,8,Aug,2018-2022,2008-2012,tmean_c,18.6922849462366,18.678064516129,0.0142204301075246,0.0761343879888886,0.95909407836612,0.0302558135343991,-0.443107526881719,0.494053763440862,5,5
nearest1,Mandena,8,Aug,2018-2022,2008-2012,tmax_c,23.0658064516129,23.0096774193548,0.0561290322580668,0.243936632552933,0.86701590154136,0.0992015005971231,-0.514145161290324,0.613548387096774,5,5
nearest1,Mandena,8,Aug,2018-2022,2008-2012,tmin_c,15.1851612903226,15.2703225806452,-0.0851612903225796,-0.557691495204691,0.792024687663412,-0.158544639983217,-0.585161290322581,0.477870967741935,5,5
nearest1,Mandena,8,Aug,2018-2022,2008-2012,rh_mean,84.8740325960009,85.4405038267122,-0.566471230711329,-0.663000807977711,0.51797433297457,-0.387749457171369,-1.83788737806873,1.11526053066778,5,5
nearest1,Mandena,8,Aug,2018-2022,2008-2012,vpd_kpa,0.370875682748614,0.361927165340464,0.00894851740814956,2.47246359629615,0.729098694842185,0.207680151506443,-0.0369954810470883,0.048523568714275,5,5
nearest1,Mandena,8,Aug,2018-2022,2008-2012,ssrd_MJ_day,7.80000000000002e-06,4.80000000000006e-06,2.99999999999996e-06,62.4999999999983,0.668381650528558,0.256384051199739,-7.20000000000005e-06,1.58000000000001e-05,5,5
nearest1,Mandena,8,Aug,2018-2022,2008-2012,wbgt28_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,8,Aug,2018-2022,2008-2012,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,8,Aug,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,8,Aug,2018-2022,2003-2007,tmean_c,18.6922849462366,18.2501344086022,0.442150537634408,2.4227248289525,0.136098744476338,0.950403143952104,-0.024909274193547,0.902499999999999,5,5
nearest1,Mandena,8,Aug,2018-2022,2003-2007,tmax_c,23.0658064516129,22.5625806451613,0.503225806451614,2.23035571314195,0.0610521133623076,1.25870185516317,0.11032258064516,0.903193548387096,5,5
