scheme,village,period_recent,period_base,variable,mean_recent,mean_base,delta,pct_change,hedges_g,p_welch,ci_low,ci_high,n_recent,n_base
nearest1,Mandena,2018-2022,2003-2007,rh_mean,85.41242523416,86.259376244256,-0.846951010095964,-0.981865446948861,-1.03642045234989,0.110296774863334,-1.67765264164275,-0.016139450688831,5,5
nearest1,Mandena,2018-2022,2003-2007,vpd_kpa,0.433950784515077,0.39887677626844,0.0350740082466372,8.79319387174167,1.56638845416889,0.0253706189671882,0.0124656434160267,0.0578053831538303,5,5
nearest1,Mandena,2018-2022,2003-2007,ssrd_MJ_day,5.46666666666668e-06,7.11666666666667e-06,-1.64999999999998e-06,-23.1850117096016,-0.459991989718187,0.44503454106903,-5.39958333333335e-06,1.83291666666672e-06,5,5
nearest1,Mandena,2018-2022,2003-2007,wbgt28_h,3.23333333333333,2.65,0.583333333333334,22.0125786163522,0.404595965411856,0.507341189207412,-0.833333333333334,2.0325,5,5
nearest1,Mandena,2018-2022,2003-2007,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,-0.571250157965901,0.373900966300059,-0.05,0,5,5
nearest1,Mandena,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,tmean_c,21.575185084765,21.6497955964814,-0.0746105117164291,-0.344624554924459,-0.254324670543863,0.671342052534079,-0.35259850228116,0.221119781459119,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,tmax_c,26.1571080477426,26.2717746128856,-0.114666565142926,-0.436462960087535,-0.486141176410459,0.419930639347723,-0.34401750898264,0.120724610016422,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,rh_mean,85.41242523416,84.9602170890989,0.45220814506115,0.532258697723092,0.535695661744609,0.376958434714195,-0.360275022084689,1.34622975969307,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,vpd_kpa,0.433950784515077,0.450983693985061,-0.0170329094699835,-3.77683488275915,-0.757220514269491,0.221590218554233,-0.0391883401885628,0.00415566965657477,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,ssrd_MJ_day,5.46666666666668e-06,6.51666666666666e-06,-1.04999999999997e-06,-16.1125319693091,-0.321507676709151,0.592289647648158,-4.36624999999996e-06,2.06625000000004e-06,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,wbgt28_h,3.23333333333333,2.91666666666667,0.316666666666667,10.8571428571429,0.338026385448416,0.570993224953561,-0.6,1.28333333333333,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,tmean_c,21.575185084765,21.4973605919055,0.0778244928594951,0.362018827970904,0.244182298122544,0.681359468419954,-0.242080038717885,0.406489417952638,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,tmax_c,26.1571080477426,26.1696790437347,-0.0125709959920144,-0.0480364928091238,-0.0386698447052922,0.947954721009571,-0.342047940944078,0.299172243078733,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,rh_mean,85.41242523416,85.840640421053,-0.428215186893013,-0.498849012300694,-0.438436040789765,0.465033773391238,-1.38801195763115,0.568333512947753,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,vpd_kpa,0.433950784515077,0.422882680092431,0.0110681044226466,2.61729906276307,0.351465361071217,0.559462028299949,-0.0208987958738045,0.0422132129673189,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,ssrd_MJ_day,5.46666666666668e-06,7.20000000000002e-06,-1.73333333333334e-06,-24.0740740740741,-0.439105497675108,0.464172616342415,-5.59958333333336e-06,2.23291666666666e-06,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,wbgt28_h,3.23333333333333,3.01666666666667,0.216666666666667,7.18232044198896,0.159253864363677,0.790116521921881,-1.1325,1.63333333333333,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,-0.571250157965901,0.373900966300059,-0.05,0,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,tmean_c,21.575185084765,21.1983787902196,0.376806294545379,1.77752411292522,1.39216342750136,0.0607346911849439,0.111776099647385,0.651985040849514,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,tmax_c,26.1571080477426,25.6830070536928,0.474100994049827,1.84597151361082,1.95540378259376,0.0091196097574631,0.240870033502841,0.71488177637852,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,rh_mean,85.41242523416,86.259376244256,-0.846951010095964,-0.981865446948861,-1.03642045234989,0.110296774863334,-1.70225890037675,-0.0536648892061153,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,vpd_kpa,0.433950784515077,0.39887677626844,0.0350740082466372,8.79319387174167,1.56638845416889,0.0253706189671882,0.0135215473477623,0.0577844046736562,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,ssrd_MJ_day,5.46666666666668e-06,7.11666666666667e-06,-1.64999999999998e-06,-23.1850117096016,-0.459991989718187,0.44503454106903,-5.23208333333334e-06,1.93291666666672e-06,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,wbgt28_h,3.23333333333333,2.65,0.583333333333334,22.0125786163522,0.404595965411856,0.507341189207412,-0.832916666666666,2.04958333333333,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,-0.571250157965901,0.373900966300059,-0.05,0,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
