scheme,village,month,month_lab,variable,slope_decade_lm,p_lm,tau_mk,p_mk,sens_slope_decade
nearest1,Mandena,1,Jan,tmax_c,0.190360831314549,0.00853606717373303,0.27314143738915,0.00849283914695355,
nearest1,Mandena,1,Jan,tmin_c,0.210863190105828,1.38518027286394e-05,0.422649356597734,4.51098152435729e-05,
nearest1,Mandena,1,Jan,rh_mean,-0.0594578489277209,0.796236908329799,0.00404040404040404,0.97658787492219,
nearest1,Mandena,1,Jan,vpd_kpa,0.00639851125391188,0.445321522712951,0.0525252525252525,0.617851026234554,
nearest1,Mandena,1,Jan,ssrd_MJ_day,-1.88405797101452e-07,0.8409802663852,0.00404859129102968,0.976583394132882,
nearest1,Mandena,1,Jan,wbgt28_h,2.7707509881423,6.43846018561507e-05,0.382715430554087,0.000301864466676132,
nearest1,Mandena,1,Jan,wbgt31_h,0.00658761528326746,0.704904048942473,0.0479132978813391,0.728970195243336,
nearest1,Mandena,1,Jan,hot35_h,0,,,,
nearest1,Mandena,2,Feb,tmean_c,0.216596544801194,3.13709235654371e-05,0.402020202020202,0.000102929244085803,
nearest1,Mandena,2,Feb,tmax_c,0.234388649830929,0.00511411030205541,0.297270121626157,0.00415046015348941,
nearest1,Mandena,2,Feb,tmin_c,0.195041764831869,1.99749991165895e-05,0.425898315336415,3.97093711657835e-05,
nearest1,Mandena,2,Feb,rh_mean,-0.414736726884396,0.0137498207042566,-0.272727272727273,0.0085022873944983,
nearest1,Mandena,2,Feb,vpd_kpa,0.0183228111557243,0.00342510086277883,0.307070707070707,0.00303625967319154,
nearest1,Mandena,2,Feb,ssrd_MJ_day,1.46245059288563e-07,0.863184476242439,0.0323887303282375,0.761646274871189,
nearest1,Mandena,2,Feb,wbgt28_h,1.6205533596838,0.0689311677760336,0.205306345677266,0.0521124726992205,
nearest1,Mandena,2,Feb,wbgt31_h,0.00790513833992097,0.649382635502996,0.0574959574576069,0.671934308519671,
nearest1,Mandena,2,Feb,hot35_h,0,,,,
nearest1,Mandena,3,Mar,tmean_c,0.168699618909998,0.000277049712196638,0.375757575757576,0.000284256176432174,
nearest1,Mandena,3,Mar,tmax_c,0.160270304730333,0.0349089896440461,0.207175367530799,0.0459678155395686,
nearest1,Mandena,3,Mar,tmin_c,0.166590165327894,0.000186231370313763,0.325911598927889,0.00168529739430208,
nearest1,Mandena,3,Mar,rh_mean,-0.223973070484017,0.120001470042788,-0.214141414141414,0.0390111301827943,
nearest1,Mandena,3,Mar,vpd_kpa,0.0105283274702337,0.0522293662021509,0.258585858585859,0.0126137733672216,
nearest1,Mandena,3,Mar,ssrd_MJ_day,6.19235836627462e-08,0.957938298655004,-0.0161616161616162,0.883341352299997,
nearest1,Mandena,3,Mar,wbgt28_h,1.42160737812912,0.00503384886321164,0.284424514698411,0.007862019560221,
nearest1,Mandena,3,Mar,wbgt31_h,0,,,,
nearest1,Mandena,3,Mar,hot35_h,0,,,,
nearest1,Mandena,4,Apr,tmean_c,0.186683318694189,9.07281752530013e-05,0.365656565656566,0.000413338881744613,
nearest1,Mandena,4,Apr,tmax_c,0.21516029863856,0.000905698686496067,0.350682207478962,0.000712185629718951,
nearest1,Mandena,4,Apr,tmin_c,0.147918313570488,0.0144891314116604,0.239514937096582,0.0209581280882853,
nearest1,Mandena,4,Apr,rh_mean,-0.255745233091582,0.158739936473284,-0.0767676767676768,0.463147459250283,
nearest1,Mandena,4,Apr,vpd_kpa,0.0116130476585133,0.0535354731222895,0.147474747474747,0.156063404857129,
nearest1,Mandena,4,Apr,ssrd_MJ_day,-1.76679841897237e-06,0.131666805021434,-0.2,0.0539650514821469,
nearest1,Mandena,4,Apr,wbgt28_h,0.0579710144927551,0.623992312707776,0.159348202154215,0.18714267805191,
nearest1,Mandena,4,Apr,wbgt31_h,0,,,,
nearest1,Mandena,4,Apr,hot35_h,0,,,,
nearest1,Mandena,5,May,tmean_c,0.180978260869567,0.00187427866883633,0.266666666666667,0.0100894030082956,
nearest1,Mandena,5,May,tmax_c,0.239126184708231,0.000749783472946347,0.317171717171717,0.00219961835397569,
